Product Name,Status,Shopify Handle,Shopify Status,File Directory,Images in Shopify,Images in Files,Original Prefix
black-set-long-with-t-shirt-white-ripe,Missing images,black-set-long-with-t-shirt-white-ripe,draft,N/A,1,0,N/A
demo-premium-tshirt,Missing images,demo-premium-tshirt,draft,N/A,3,0,N/A
premium-hoodie,Missing images,premium-hoodie,active,N/A,0,0,N/A
beige-set-long,Matched,beige-set-long,active,D01.beige.set.long,4,4,D01
black-vest-ripped,Matched,black-vest-ripped,active,D01.black.vest.ripped,4,4,D01
beige-set-short,Matched,beige-set-short,active,D01.beige.set.short,4,4,D01
shirt-black-ripped,Matched,shirt-black-ripped,active,D01.shirt.black.ripped,3,3,D01
grey-set-short,Matched,grey-set-short,active,D01.grey.set.short,4,4,D01
shirt-wnb-green-palm-1,Matched,shirt-wnb-green-palm-1,active,D01.shirt.WNB.green.palm-1,3,3,D01
shirt-white-riped,Matched,shirt-white-riped,active,D01.shirt.white.riped,3,3,D01
shirt-white-fishnet,Matched,shirt-white-fishnet,active,D01.shirt.white.fishnet,4,4,D01
shirt-burgund-rose,Matched,shirt-burgund-rose,active,D01.shirt.burgund.rose,4,4,D01
shirt-xagon-white,Matched,shirt-xagon-white,active,D01.shirt.xagon.white,4,4,D01
shirt-wnb-white-floral,Matched,shirt-wnb-white-floral,active,D01.shirt.WNB.white.floral,4,3,D01
shirt-wnb-pink2,Matched,shirt-wnb-pink2,active,D01.shirt.WNB.pink2,3,3,D01
shirt-wnb-pink,Matched,shirt-wnb-pink,active,D01.shirt.WNB.pink,3,3,D01
black-set-long,Matched,black-set-long,active,Do2.black.set.long,4,4,Do2
black-set-short,Matched,black-set-short,active,Do1.black.set.short,4,4,Do1
white-set-short,Matched,white-set-short,active,D01.white.set.short,4,4,D01
strick-green,Matched,strick-green,active,D01.strick.green,3,3,D01
strick-black,Matched,strick-black,active,D01.strick.black,3,3,D01
strick-beige-2,Matched,strick-beige-2,active,D01.strick.beige.2,3,3,D01
srick-fein-beige,Matched,srick-fein-beige,active,D01.srick.fein.beige,3,3,D01
strick-kurz,Missing from Shopify,N/A,N/A,D01.strick.kurz,0,4,D01
amerikana-khaki,Missing from Shopify,N/A,N/A,D03.amerikana.khaki,0,4,D03
barbie-dress,Missing from Shopify,N/A,N/A,D03.barbie.dress,0,3,D03
beige-set-skirt,Missing from Shopify,N/A,N/A,D03.beige.set.skirt,0,4,D03
beige-skirt-silk,Missing from Shopify,N/A,N/A,D03.beige.skirt.silk,0,4,D03
black-body,Missing from Shopify,N/A,N/A,D03.black.body,0,3,D03
black-rezinka,Missing from Shopify,N/A,N/A,D03.black.rezinka,0,5,D03
black-skirt-chanel,Missing from Shopify,N/A,N/A,D03.black.skirt.chanel,0,3,D03
black-skirt-silk,Missing from Shopify,N/A,N/A,D03.black.skirt.silk,0,3,D03
