Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Addon Products (product.metafields.custom.addon_products),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
strick-kurz,Strick Kurz,<p>Stylish strick kurz from our collection. High-quality knitwear perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Knitwear,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D01.strick.kurz\DSC05126.jpg",1,Strick Kurz,false,,,,,,,,,,,kg,,,active
strick-kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D01.strick.kurz\DSC05135.jpg",2,Strick Kurz - View 2,,,,,,,,,,,,,,,
strick-kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D01.strick.kurz\DSC05143.jpg",3,Strick Kurz - View 3,,,,,,,,,,,,,,,
strick-kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D01.strick.kurz\DSC05147.jpg",4,Strick Kurz - View 4,,,,,,,,,,,,,,,
amerikana-khaki,Amerikana Khaki,<p>Stylish amerikana khaki from our collection. High-quality clothing perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Clothing,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.amerikana.khaki\DSC08474.jpg",1,Amerikana Khaki,false,,,,,,,,,,,kg,,,active
amerikana-khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.amerikana.khaki\DSC08475.jpg",2,Amerikana Khaki - View 2,,,,,,,,,,,,,,,
amerikana-khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.amerikana.khaki\DSC08483.jpg",3,Amerikana Khaki - View 3,,,,,,,,,,,,,,,
amerikana-khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.amerikana.khaki\DSC08485.jpg",4,Amerikana Khaki - View 4,,,,,,,,,,,,,,,
barbie-dress,Barbie Dress,<p>Stylish barbie dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.barbie.dress\DSC08781.jpg",1,Barbie Dress,false,,,,,,,,,,,kg,,,active
barbie-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.barbie.dress\DSC08789.jpg",2,Barbie Dress - View 2,,,,,,,,,,,,,,,
barbie-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.barbie.dress\DSC08793.jpg",3,Barbie Dress - View 3,,,,,,,,,,,,,,,
beige-set-skirt,Beige Set Skirt,<p>Stylish beige set skirt from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.beige.set.skirt\DSC07642.jpg",1,Beige Set Skirt,false,,,,,,,,,,,kg,,,active
beige-set-skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.beige.set.skirt\DSC07652.jpg",2,Beige Set Skirt - View 2,,,,,,,,,,,,,,,
beige-set-skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.beige.set.skirt\DSC07657.jpg",3,Beige Set Skirt - View 3,,,,,,,,,,,,,,,
beige-set-skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.beige.set.skirt\DSC07665.jpg",4,Beige Set Skirt - View 4,,,,,,,,,,,,,,,
beige-skirt-silk,Beige Skirt Silk,<p>Stylish beige skirt silk from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.beige.skirt.silk\DSC08092.jpg",1,Beige Skirt Silk,false,,,,,,,,,,,kg,,,active
beige-skirt-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.beige.skirt.silk\DSC08095.jpg",2,Beige Skirt Silk - View 2,,,,,,,,,,,,,,,
beige-skirt-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.beige.skirt.silk\DSC08102.jpg",3,Beige Skirt Silk - View 3,,,,,,,,,,,,,,,
beige-skirt-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.beige.skirt.silk\DSC08114.jpg",4,Beige Skirt Silk - View 4,,,,,,,,,,,,,,,
black-body,Black Body,<p>Stylish black body from our collection. High-quality clothing perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Clothing,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.black.body\DSC07206.jpg",1,Black Body,false,,,,,,,,,,,kg,,,active
black-body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.body\DSC07229.jpg",2,Black Body - View 2,,,,,,,,,,,,,,,
black-body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.black.body\DSC07251.jpg",3,Black Body - View 3,,,,,,,,,,,,,,,
